knowledge_point_id,grade,semester,description,version,created_at
K001,1,上册,数一数（1-10的数数）,1.0,2026-07-06
K002,1,上册,比多少（同样多、多、少）,1.0,2026-07-06
K003,1,上册,1-5的认识（基数和序数）,1.0,2026-07-06
K004,1,上册,1-5的加减法（加法含义和减法含义）,1.0,2026-07-06
K005,1,上册,认识立体图形（长方体、正方体、圆柱、球）,1.0,2026-07-06
K006,1,上册,6-10的认识（数的组成）,1.0,2026-07-06
K007,1,上册,6-10的加减法（一图四式）,1.0,2026-07-06
K008,1,上册,连加连减（三个数的加减）,1.0,2026-07-06
K009,1,上册,加减混合运算,1.0,2026-07-06
K010,1,上册,11-20各数的认识（十加几）,1.0,2026-07-06
K011,1,上册,认识钟表（整时和半时）,1.0,2026-07-06
K012,1,上册,9加几（凑十法）,1.0,2026-07-06
K013,1,上册,8、7、6加几（凑十法）,1.0,2026-07-06
K014,1,上册,5、4、3、2加几（交换加数）,1.0,2026-07-06
K015,1,上册,解决问题（加法应用题）,1.0,2026-07-06
K016,1,上册,认识平面图形（长方形、正方形、三角形、圆）,1.0,2026-07-06
K017,1,下册,20以内的退位减法（破十法）,1.0,2026-07-06
K018,1,下册,十几减9（破十法）,1.0,2026-07-06
K019,1,下册,十几减8、7、6（想加算减）,1.0,2026-07-06
K020,1,下册,十几减5、4、3、2（想加算减）,1.0,2026-07-06
K021,1,下册,分类与整理（单一标准分类）,1.0,2026-07-06
K022,1,下册,100以内数的认识（数数、数的组成）,1.0,2026-07-06
K023,1,下册,读数和写数（数位顺序）,1.0,2026-07-06
K024,1,下册,数的大小比较（多得多、少得多、差不多）,1.0,2026-07-06
K025,1,下册,认识人民币（元角分）,1.0,2026-07-06
K026,1,下册,简单的计算（元角分换算）,1.0,2026-07-06
K027,1,下册,整十数加一位数及相应减法,1.0,2026-07-06
K028,1,下册,整十数加、减整十数,1.0,2026-07-06
K029,1,下册,两位数加一位数（不进位）,1.0,2026-07-06
K030,1,下册,两位数减一位数（不退位）,1.0,2026-07-06
K031,1,下册,找规律（图形规律、数字规律）,1.0,2026-07-06
K032,2,上册,长度单位（厘米、米）,1.0,2026-07-06
K033,2,上册,两位数加一位数（进位）,1.0,2026-07-06
K034,2,上册,两位数加两位数（不进位）,1.0,2026-07-06
K035,2,上册,两位数加两位数（进位）,1.0,2026-07-06
K036,2,上册,两位数减两位数（不退位）,1.0,2026-07-06
K037,2,上册,两位数减两位数（退位）,1.0,2026-07-06
K038,2,上册,连加连减（三个两位数）,1.0,2026-07-06
K039,2,上册,加减混合运算（加减两步）,1.0,2026-07-06
K040,2,上册,角的初步认识（直角、锐角、钝角）,1.0,2026-07-06
K041,2,上册,认识乘法（乘法的意义）,1.0,2026-07-06
K042,2,上册,2-6的乘法口诀,1.0,2026-07-06
K043,2,上册,乘加乘减（混合运算）,1.0,2026-07-06
K044,2,上册,观察物体（从不同方向观察）,1.0,2026-07-06
K045,2,上册,7的乘法口诀,1.0,2026-07-06
K046,2,上册,8的乘法口诀,1.0,2026-07-06
K047,2,上册,9的乘法口诀,1.0,2026-07-06
K048,2,上册,认识时间（时分秒）,1.0,2026-07-06
K049,2,上册,数学广角——搭配（一）,1.0,2026-07-06
K050,2,下册,数据收集整理（简单统计表）,1.0,2026-07-06
K051,2,下册,平均分（除法的意义）,1.0,2026-07-06
K052,2,下册,认识除法（除号、被除数、除数、商）,1.0,2026-07-06
K053,2,下册,用2-6的乘法口诀求商,1.0,2026-07-06
K054,2,下册,图形的运动（轴对称）,1.0,2026-07-06
K055,2,下册,图形的运动（平移和旋转）,1.0,2026-07-06
K056,2,下册,用7、8、9的乘法口诀求商,1.0,2026-07-06
K057,2,下册,混合运算（同级运算）,1.0,2026-07-06
K058,2,下册,混合运算（两级运算）,1.0,2026-07-06
K059,2,下册,有余数的除法（余数小于除数）,1.0,2026-07-06
K060,2,下册,有余数除法的应用,1.0,2026-07-06
K061,2,下册,万以内数的认识（数数、读法、写法）,1.0,2026-07-06
K062,2,下册,万以内数的大小比较,1.0,2026-07-06
K063,2,下册,近似数（估算）,1.0,2026-07-06
K064,2,下册,整百整千数的加减法,1.0,2026-07-06
K065,2,下册,克和千克（质量单位）,1.0,2026-07-06
K066,2,下册,数学广角——推理,1.0,2026-07-06
K067,3,上册,时分秒（时间单位换算）,1.0,2026-07-06
K068,3,上册,万以内的加法（两位数加两位数）,1.0,2026-07-06
K069,3,上册,万以内的减法（两位数减两位数）,1.0,2026-07-06
K070,3,上册,测量（毫米、分米）,1.0,2026-07-06
K071,3,上册,测量（千米）,1.0,2026-07-06
K072,3,上册,测量（吨）,1.0,2026-07-06
K073,3,上册,万以内的加法（三位数加三位数不进位）,1.0,2026-07-06
K074,3,上册,万以内的加法（三位数加三位数进位）,1.0,2026-07-06
K075,3,上册,万以内的减法（三位数减三位数不退位）,1.0,2026-07-06
K076,3,上册,万以内的减法（三位数减三位数退位）,1.0,2026-07-06
K077,3,上册,加减法的验算,1.0,2026-07-06
K078,3,上册,倍的认识（一个数是另一个数的几倍）,1.0,2026-07-06
K079,3,上册,求一个数的几倍是多少,1.0,2026-07-06
K080,3,上册,多位数乘一位数（口算乘法）,1.0,2026-07-06
K081,3,上册,多位数乘一位数（笔算乘法不进位）,1.0,2026-07-06
K082,3,上册,多位数乘一位数（笔算乘法进位）,1.0,2026-07-06
K083,3,上册,多位数乘一位数（因数中间有0）,1.0,2026-07-06
K084,3,上册,多位数乘一位数（因数末尾有0）,1.0,2026-07-06
K085,3,上册,长方形和正方形的认识,1.0,2026-07-06
K086,3,上册,周长的认识（周长的概念）,1.0,2026-07-06
K087,3,上册,长方形和正方形的周长计算,1.0,2026-07-06
K088,3,上册,分数的初步认识（几分之一）,1.0,2026-07-06
K089,3,上册,分数的初步认识（几分之几）,1.0,2026-07-06
K090,3,上册,分数的简单计算（同分母加减法）,1.0,2026-07-06
K091,3,上册,分数的简单应用（分数与除法）,1.0,2026-07-06
K092,3,上册,数学广角——集合（重叠问题）,1.0,2026-07-06
K093,3,下册,位置与方向（东、南、西、北）,1.0,2026-07-06
K094,3,下册,位置与方向（东北、东南、西北、西南）,1.0,2026-07-06
K095,3,下册,除数是一位数的除法（口算除法）,1.0,2026-07-06
K096,3,下册,除数是一位数的除法（笔算除法一位数）,1.0,2026-07-06
K097,3,下册,除数是一位数的除法（笔算除法两位数）,1.0,2026-07-06
K098,3,下册,除数是一位数的除法（商中间有0）,1.0,2026-07-06
K099,3,下册,除数是一位数的除法（商末尾有0）,1.0,2026-07-06
K100,3,下册,复式统计表,1.0,2026-07-06
K101,3,下册,两位数乘两位数（口算乘法）,1.0,2026-07-06
K102,3,下册,两位数乘两位数（笔算乘法不进位）,1.0,2026-07-06
K103,3,下册,两位数乘两位数（笔算乘法进位）,1.0,2026-07-06
K104,3,下册,面积和面积单位,1.0,2026-07-06
K105,3,下册,长方形和正方形的面积计算,1.0,2026-07-06
K106,3,下册,面积单位间的进率（平方米、平方分米、平方厘米）,1.0,2026-07-06
K107,3,下册,年、月、日（年月日的认识）,1.0,2026-07-06
K108,3,下册,平年和闰年,1.0,2026-07-06
K109,3,下册,24时计时法,1.0,2026-07-06
K110,3,下册,小数的初步认识（一位小数）,1.0,2026-07-06
K111,3,下册,小数的初步认识（两位小数）,1.0,2026-07-06
K112,3,下册,简单的小数加减法（一位小数）,1.0,2026-07-06
K113,3,下册,数学广角——搭配（二）,1.0,2026-07-06
K114,4,上册,大数的认识（亿以内数的认识）,1.0,2026-07-06
K115,4,上册,大数的认识（亿以内数的读法）,1.0,2026-07-06
K116,4,上册,大数的认识（亿以内数的写法）,1.0,2026-07-06
