knowledge_id,知识点描述,精讲标题,年级,学期,匹配状态
K001,数一数（1-10的数数）,数一数（1-10的数数）,1,上册,匹配
K002,比多少（同样多、多、少）,比多少（同样多、多、少）,1,上册,匹配
K003,1-5的认识（基数和序数）,1-5的认识（基数和序数）,1,上册,匹配
K004,1-5的加减法（加法含义和减法含义）,1-5的加减法（加法含义和减法含义）,1,上册,匹配
K005,认识立体图形（长方体、正方体、圆柱、球）,认识立体图形（长方体、正方体、圆柱、球）,1,上册,匹配
K006,6-10的认识（数的组成）,6-10的认识（数的组成）,1,上册,匹配
K007,6-10的加减法（一图四式）,6-10的加减法（一图四式）,1,上册,匹配
K008,连加连减（三个数的加减）,连加连减（三个数的加减）,1,上册,匹配
K009,加减混合运算,加减混合运算,1,上册,匹配
K010,11-20各数的认识（十加几）,11-20各数的认识（十加几）,1,上册,匹配
K011,认识钟表（整时和半时）,认识钟表（整时和半时）,1,上册,匹配
K012,9加几（凑十法）,9加几（凑十法）,1,上册,匹配
K013,8、7、6加几（凑十法）,8、7、6加几（凑十法）,1,上册,匹配
K014,5、4、3、2加几（交换加数）,5、4、3、2加几（交换加数）,1,上册,匹配
K015,解决问题（加法应用题）,解决问题（加法应用题）,1,上册,匹配
K016,认识平面图形（长方形、正方形、三角形、圆）,认识平面图形（长方形、正方形、三角形、圆）,1,上册,匹配
K017,20以内的退位减法（破十法）,20以内的退位减法（破十法）,1,下册,匹配
K018,十几减9（破十法）,十几减9（破十法）,1,下册,匹配
K019,十几减8、7、6（想加算减）,十几减8、7、6（想加算减）,1,下册,匹配
K020,十几减5、4、3、2（想加算减）,十几减5、4、3、2（想加算减）,1,下册,匹配
K021,分类与整理（单一标准分类）,分类与整理（单一标准分类）,1,下册,匹配
K022,100以内数的认识（数数、数的组成）,100以内数的认识（数数、数的组成）,1,下册,匹配
K023,读数和写数（数位顺序）,读数和写数（数位顺序）,1,下册,匹配
K024,数的大小比较（多得多、少得多、差不多）,数的大小比较（多得多、少得多、差不多）,1,下册,匹配
K025,认识人民币（元角分）,认识人民币（元角分）,1,下册,匹配
K026,简单的计算（元角分换算）,简单的计算（元角分换算）,1,下册,匹配
K027,整十数加一位数及相应减法,整十数加一位数及相应减法,1,下册,匹配
K028,整十数加、减整十数,整十数加、减整十数,1,下册,匹配
K029,两位数加一位数（不进位）,两位数加一位数（不进位）,1,下册,匹配
K030,两位数减一位数（不退位）,两位数减一位数（不退位）,1,下册,匹配
K031,找规律（图形规律、数字规律）,找规律（图形规律、数字规律）,1,下册,匹配
K032,长度单位（厘米、米）,长度单位（厘米、米）,2,上册,匹配
K033,两位数加一位数（进位）,两位数加一位数（进位）,2,上册,匹配
K034,两位数加两位数（不进位）,两位数加两位数（不进位）,2,上册,匹配
K035,两位数加两位数（进位）,两位数加两位数（进位）,2,上册,匹配
K036,两位数减两位数（不退位）,两位数减两位数（不退位）,2,上册,匹配
K037,两位数减两位数（退位）,两位数减两位数（退位）,2,上册,匹配
K038,连加连减（三个两位数）,连加连减（三个两位数）,2,上册,匹配
K039,加减混合运算（加减两步）,加减混合运算（加减两步）,2,上册,匹配
K040,角的初步认识（直角、锐角、钝角）,角的初步认识（直角、锐角、钝角）,2,上册,匹配
K041,认识乘法（乘法的意义）,认识乘法（乘法的意义）,2,上册,匹配
K042,2-6的乘法口诀,2-6的乘法口诀,2,上册,匹配
K043,乘加乘减（混合运算）,乘加乘减（混合运算）,2,上册,匹配
K044,观察物体（从不同方向观察）,观察物体（从不同方向观察）,2,上册,匹配
K045,7的乘法口诀,7的乘法口诀,2,上册,匹配
K046,8的乘法口诀,8的乘法口诀,2,上册,匹配
K047,9的乘法口诀,9的乘法口诀,2,上册,匹配
K048,认识时间（时分秒）,认识时间（时分秒）,2,上册,匹配
K049,数学广角——搭配（一）,数学广角——搭配（一）,2,上册,匹配
K050,数据收集整理（简单统计表）,数据收集整理（简单统计表）,2,下册,匹配
K051,平均分（除法的意义）,平均分（除法的意义）,2,下册,匹配
K052,认识除法（除号、被除数、除数、商）,认识除法（除号、被除数、除数、商）,2,下册,匹配
K053,用2-6的乘法口诀求商,用2-6的乘法口诀求商,2,下册,匹配
K054,图形的运动（轴对称）,图形的运动（轴对称）,2,下册,匹配
K055,图形的运动（平移和旋转）,图形的运动（平移和旋转）,2,下册,匹配
K056,用7、8、9的乘法口诀求商,用7、8、9的乘法口诀求商,2,下册,匹配
K057,混合运算（同级运算）,混合运算（同级运算）,2,下册,匹配
K058,混合运算（两级运算）,混合运算（两级运算）,2,下册,匹配
K059,有余数的除法（余数小于除数）,有余数的除法（余数小于除数）,2,下册,匹配
K060,有余数除法的应用,有余数除法的应用,2,下册,匹配
K061,万以内数的认识（数数、读法、写法）,万以内数的认识（数数、读法、写法）,2,下册,匹配
K062,万以内数的大小比较,万以内数的大小比较,2,下册,匹配
K063,近似数（估算）,近似数（估算）,2,下册,匹配
K064,整百整千数的加减法,整百整千数的加减法,2,下册,匹配
K065,克和千克（质量单位）,克和千克（质量单位）,2,下册,匹配
K066,数学广角——推理,数学广角——推理,2,下册,匹配
K067,时分秒（时间单位换算）,时分秒（时间单位换算）,3,上册,匹配
K068,万以内的加法（两位数加两位数）,万以内的加法（两位数加两位数）,3,上册,匹配
K069,万以内的减法（两位数减两位数）,万以内的减法（两位数减两位数）,3,上册,匹配
K070,测量（毫米、分米）,测量（毫米、分米）,3,上册,匹配
K071,测量（千米）,测量（千米）,3,上册,匹配
K072,测量（吨）,测量（吨）,3,上册,匹配
K073,万以内的加法（三位数加三位数不进位）,万以内的加法（三位数加三位数不进位）,3,上册,匹配
K074,万以内的加法（三位数加三位数进位）,万以内的加法（三位数加三位数进位）,3,上册,匹配
K075,万以内的减法（三位数减三位数不退位）,万以内的减法（三位数减三位数不退位）,3,上册,匹配
K076,万以内的减法（三位数减三位数退位）,万以内的减法（三位数减三位数退位）,3,上册,匹配
K077,加减法的验算,加减法的验算,3,上册,匹配
K078,倍的认识（一个数是另一个数的几倍）,倍的认识（一个数是另一个数的几倍）,3,上册,匹配
K079,求一个数的几倍是多少,求一个数的几倍是多少,3,上册,匹配
K080,多位数乘一位数（口算乘法）,多位数乘一位数（口算乘法）,3,上册,匹配
